taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
7135,2016-12-27 23:15:00,2016-12-27 23:30:00,900,4.9,,504,28,32,15.75,0.00,0.00,1.00,16.75,Cash,107,591,433,744,605
473,2016-12-9 19:15:00,2016-12-9 19:15:00,420,1,,899,28,8,6.50,0.00,0.00,0.00,6.50,Cash,101,411,545,170,351
1030,2016-12-14 12:45:00,2016-12-14 13:30:00,2100,1.1,,313,28,76,46.75,5.00,0.00,1.00,52.75,Credit Card,107,428,409,225,6
5581,2016-12-8 21:00:00,2016-12-8 21:00:00,840,1.9,,807,8,28,9.75,2.00,0.00,0.00,11.75,Credit Card,107,695,366,411,545
8436,2016-12-23 20:30:00,2016-12-23 20:30:00,540,3.6,,498,33,8,11.75,0.00,0.00,0.00,11.75,Cash,101,728,277,413,636
1026,2016-12-1 16:45:00,2016-12-1 16:45:00,120,0,,16,32,32,4.25,0.00,0.00,0.00,4.25,Cash,107,18,610,18,610
4025,2016-12-16 14:30:00,2016-12-16 14:45:00,360,1.2,,334,7,8,6.50,2.00,0.00,0.00,8.50,Credit Card,101,618,407,294,113
7407,2016-12-29 10:45:00,2016-12-29 11:00:00,660,1.8,,970,28,8,8.75,4.00,0.00,0.00,12.75,Credit Card,82,411,545,210,470
2206,2016-12-6 08:30:00,2016-12-6 09:00:00,1680,5.5,,32,8,28,18.00,5.40,0.00,0.00,23.40,Credit Card,107,218,437,428,409
6688,2016-12-20 07:45:00,2016-12-20 07:45:00,360,0,,504,28,32,6.75,2.00,0.00,0.00,8.75,Credit Card,8,411,545,744,605
660,2016-12-9 18:00:00,2016-12-9 18:00:00,480,0.8,,792,28,8,6.75,0.00,0.00,1.00,7.75,Cash,107,411,545,419,615
4063,2016-12-9 02:15:00,2016-12-9 02:30:00,480,0.4,,1046,32,33,8.25,3.00,0.00,1.00,12.25,Credit Card,109,744,605,728,277
4107,2016-12-15 14:15:00,2016-12-15 14:15:00,120,0,,504,8,32,4.50,0.00,0.00,0.00,4.50,Cash,107,688,206,744,605
2986,2016-12-24 13:45:00,2016-12-24 13:45:00,480,0.9,,16,32,32,6.75,0.00,0.00,0.00,6.75,Cash,107,30,405,18,610
103,2016-12-16 17:15:00,2016-12-16 17:15:00,600,0.7,,40,8,28,6.75,2.00,0.00,0.00,8.75,Credit Card,82,754,410,395,408
4196,2016-12-6 09:00:00,2016-12-6 09:15:00,600,1.3,,504,28,32,7.50,0.00,0.00,1.00,8.50,Cash,109,411,545,744,605
3,2016-12-3 02:00:00,2016-12-3 02:15:00,300,0.4,,225,8,8,5.00,0.00,0.00,0.00,5.00,Cash,43,170,351,754,410
3684,2016-12-2 18:15:00,2016-12-2 18:30:00,540,0,,334,8,8,6.50,0.00,0.00,0.00,6.50,Cash,8,294,113,294,113
431,2016-12-6 14:15:00,2016-12-6 14:15:00,360,1,,16,28,32,6.00,0.00,0.00,2.00,8.00,Cash,43,395,408,18,610
